:31:36 - Pulso estable - Esperando rastro...
⏳ 00:48:31 - Pulso estable - Esperando rastro...
⏳ 00:48:33 - Pulso estable - Esperando rastro...
⏳ 00:48:35 - Pulso estable - Esperando rastro...
⏳ 00:48:37 - Pulso estable - Esperando rastro...
⏳ 00:48:39 - Pulso estable - Esperando rastro...
⏳ 00:48:41 - Pulso estable - Esperando rastro...
⏳ 00:48:43 - Pulso estable - Esperando rastro...
⏳ 00:48:45 - Pulso estable - Esperando rastro...
⏳ 00:48:47 - Pulso estable - Esperando rastro...
⏳ 00:48:49 - Pulso estable - Esperando rastro...
⏳ 00:48:51 - Pulso estable - Esperando rastro...
⏳ 00:48:53 - Pulso estable - Esperando rastro...
⏳ 00:48:55 - Pulso estable - Esperando rastro...
⏳ 00:48:57 - Pulso estable - Esperando rastro...
⏳ 00:48:59 - Pulso estable - Esperando rastro...
⏳ 00:49:01 - Pulso estable - Esperando rastro...
⏳ 00:49:03 - Pulso estable - Esperando rastro...
⏳ 00:49:06 - Pulso estable - Esperando rastro...
⏳ 00:49:08 - Pulso estable - Esperando rastro...
⏳ 00:49:10 - Pulso estable - Esperando rastro...
⏳ 00:49:12 - Pulso estable - Esperando rastro...
⏳ 00:49:14 - Pulso estable - Esperando rastro...
⏳ 00:49:16 - Pulso estable - Esperando rastro...
⏳ 00:49:18 - Pulso estable - Esperando rastro...
⏳ 00:49:20 - Pulso estable - Esperando rastro...
⏳ 00:49:22 - Pulso estable - Esperando rastro...
⏳ 00:49:24 - Pulso estable - Esperando rastro...
⏳ 00:49:26 - Pulso estable - Esperando rastro...
⏳ 00:49:28 - Pulso estable - Esperando rastro...
⏳ 00:49:30 - Pulso estable - Esperando rastro...
⏳ 00:49:32 - Pulso estable - Esperando rastro...
⏳ 00:49:34 - Pulso estable - Esperando rastro...
⏳ 00:49:36 - Pulso estable - Esperando rastro...
⏳ 00:49:38 - Pulso estable - Esperando rastro...
⏳ 00:49:40 - Pulso estable - Esperando rastro...
⏳ 00:49:42 - Pulso estable - Esperando rastro...
⏳ 00:49:44 - Pulso estable - Esperando rastro...
⏳ 00:49:46 - Pulso estable - Esperando rastro...
⏳ 00:49:48 - Pulso estable - Esperando rastro...
⏳ 00:49:50 - Pulso estable - Esperando rastro...
⏳ 00:49:52 - Pulso estable - Esperando rastro...
⏳ 00:49:54 - Pulso estable - Esperando rastro...
⏳ 00:49:56 - Pulso estable - Esperando rastro...
⏳ 00:49:58 - Pulso estable - Esperando rastro...
⏳ 00:50:00 - Pulso estable - Esperando rastro...
⏳ 00:50:03 - Pulso estable - Esperando rastro...
⏳ 00:50:05 - Pulso estable - Esperando rastro...
⏳ 00:50:07 - Pulso estable - Esperando rastro...
⏳ 00:50:09 - Pulso estable - Esperando rastro...
⏳ 00:50:11 - Pulso estable - Esperando rastro...
⏳ 00:50:13 - Pulso estable - Esperando rastro...
⏳ 00:50:15 - Pulso estable - Esperando rastro...
⏳ 00:50:17 - Pulso estable - Esperando rastro...
⏳ 00:50:19 - Pulso estable - Esperando rastro...
⏳ 00:50:21 - Pulso estable - Esperando rastro...
⏳ 00:50:23 - Pulso estable - Esperando rastro...
⏳ 00:50:25 - Pulso estable - Esperando rastro...
⏳ 00:50:27 - Pulso estable - Esperando rastro...
⏳ 00:50:29 - Pulso estable - Esperando rastro...
⏳ 00:50:31 - Pulso estable - Esperando rastro...
⏳ 00:50:33 - Pulso estable - Esperando rastro...
⏳ 00:50:35 - Pulso estable - Esperando rastro...
⏳ 00:50:37 - Pulso estable - Esperando rastro...
⏳ 00:50:39 - Pulso estable - Esperando rastro...
⏳ 00:50:41 - Pulso estable - Esperando rastro...
⏳ 00:50:44 - Pulso estable - Esperando rastro...
⏳ 00:50:46 - Pulso estable - Esperando rastro...
⏳ 00:50:48 - Pulso estable - Esperando rastro...
⏳ 00:50:50 - Pulso estable - Esperando rastro...
⏳ 00:50:52 - Pulso estable - Esperando rastro...
⏳ 00:50:54 - Pulso estable - Esperando rastro...
⏳ 00:50:56 - Pulso estable - Esperando rastro...
⏳ 00:50:58 - Pulso estable - Esperando rastro...
⏳ 00:51:00 - Pulso estable - Esperando rastro...
⏳ 00:51:02 - Pulso estable - Esperando rastro...
⏳ 00:51:04 - Pulso estable - Esperando rastro...
⏳ 00:51:06 - Pulso estable - Esperando rastro...
⏳ 00:51:08 - Pulso estable - Esperando rastro...
⏳ 00:51:10 - Pulso estable - Esperando rastro...
⏳ 00:51:12 - Pulso estable - Esperando rastro...
⏳ 00:51:14 - Pulso estable - Esperando rastro...
⏳ 00:51:16 - Pulso estable - Esperando rastro...
⏳ 00:51:18 - Pulso estable - Esperando rastro...
⏳ 00:51:20 - Pulso estable - Esperando rastro...
⏳ 00:51:22 - Pulso estable - Esperando rastro...
⏳ 00:51:24 - Pulso estable - Esperando rastro...
⏳ 00:51:26 - Pulso estable - Esperando rastro...
⏳ 00:51:29 - Pulso estable - Esperando rastro...
⏳ 00:51:31 - Pulso estable - Esperando rastro...
⏳ 00:51:33 - Pulso estable - Esperando rastro...
⏳ 00:51:35 - Pulso estable - Esperando rastro...
⏳ 00:51:37 - Pulso estable - Esperando rastro...
⏳ 00:51:39 - Pulso estable - Esperando rastro...
⏳ 00:51:41 - Pulso estable - Esperando rastro...
⏳ 00:51:43 - Pulso estable - Esperando rastro...
⏳ 00:51:45 - Pulso estable - Esperando rastro...
⏳ 00:51:47 - Pulso estable - Esperando rastro...
⏳ 00:51:49 - Pulso estable - Esperando rastro...
⏳ 00:51:51 - Pulso estable - Esperando rastro...
⏳ 00:51:53 - Pulso estable - Esperando rastro...
⏳ 00:51:55 - Pulso estable - Esperando rastro...
⏳ 00:51:57 - Pulso estable - Esperando rastro...
⏳ 00:51:59 - Pulso estable - Esperando rastro...
⏳ 00:52:01 - Pulso estable - Esperando rastro...
⏳ 00:52:03 - Pulso estable - Esperando rastro...
⏳ 00:52:05 - Pulso estable - Esperando rastro...
⏳ 00:52:07 - Pulso estable - Esperando rastro...
⏳ 00:52:09 - Pulso estable - Esperando rastro...
⏳ 00:52:11 - Pulso estable - Esperando rastro...
⏳ 00:52:13 - Pulso estable - Esperando rastro...
⏳ 00:52:15 - Pulso estable - Esperando rastro...
⏳ 00:52:17 - Pulso estable - Esperando rastro...
⏳ 00:52:20 - Pulso estable - Esperando rastro...
⏳ 00:52:22 - Pulso estable - Esperando rastro...
⏳ 00:52:24 - Pulso estable - Esperando rastro...
⏳ 00:52:26 - Pulso estable - Esperando rastro...
⏳ 00:52:28 - Pulso estable - Esperando rastro...
⏳ 00:52:30 - Pulso estable - Esperando rastro...
⏳ 00:52:32 - Pulso estable - Esperando rastro...
⏳ 00:52:34 - Pulso estable - Esperando rastro...
⏳ 00:52:36 - Pulso estable - Esperando rastro...
⏳ 00:52:38 - Pulso estable - Esperando rastro...
⏳ 00:52:40 - Pulso estable - Esperando rastro...
⏳ 00:52:42 - Pulso estable - Esperando rastro...
⏳ 00:52:44 - Pulso estable - Esperando rastro...
⏳ 00:52:46 - Pulso estable - Esperando rastro...
⏳ 00:52:48 - Pulso estable - Esperando rastro...
⏳ 00:52:50 - Pulso estable - Esperando rastro...
⏳ 00:52:52 - Pulso estable - Esperando rastro...
⏳ 00:52:54 - Pulso estable - Esperando rastro...
⏳ 00:52:56 - Pulso estable - Esperando rastro...
⏳ 00:52:58 - Pulso estable - Esperando rastro...
⏳ 00:53:00 - Pulso estable - Esperando rastro...
⏳ 00:53:02 - Pulso estable - Esperando rastro...
⏳ 00:53:04 - Pulso estable - Esperando rastro...
⏳ 00:53:07 - Pulso estable - Esperando rastro...
⏳ 00:53:09 - Pulso estable - Esperando rastro...
⏳ 00:53:11 - Pulso estable - Esperando rastro...
⏳ 00:53:13 - Pulso estable - Esperando rastro...
⏳ 00:53:15 - Pulso estable - Esperando rastro...
⏳ 00:53:17 - Pulso estable - Esperando rastro...
⏳ 00:53:19 - Pulso estable - Esperando rastro...
⏳ 00:53:21 - Pulso estable - Esperando rastro...
⏳ 00:53:23 - Pulso estable - Esperando rastro...
⏳ 00:53:25 - Pulso estable - Esperando rastro...
⏳ 00:53:27 - Pulso estable - Esperando rastro...
⏳ 00:53:29 - Pulso estable - Esperando rastro...
⏳ 00:53:31 - Pulso estable - Esperando rastro...
⏳ 00:53:33 - Pulso estable - Esperando rastro...
⏳ 00:53:35 - Pulso estable - Esperando rastro...
⏳ 00:53:37 - Pulso estable - Esperando rastro...
⏳ 00:53:39 - Pulso estable - Esperando rastro...
⏳ 00:53:41 - Pulso estable - Esperando rastro...
⏳ 00:53:43 - Pulso estable - Esperando rastro...
⏳ 00:53:45 - Pulso estable - Esperando rastro...
⏳ 00:53:47 - Pulso estable - Esperando rastro...
⏳ 00:53:49 - Pulso estable - Esperando rastro...
⏳ 00:53:52 - Pulso estable - Esperando rastro...
⏳ 00:53:54 - Pulso estable - Esperando rastro...
⏳ 00:53:56 - Pulso estable - Esperando rastro...
⏳ 00:53:58 - Pulso estable - Esperando rastro...
⏳ 00:54:00 - Pulso estable - Esperando rastro...
⏳ 00:54:02 - Pulso estable - Esperando rastro...
⏳ 00:54:04 - Pulso estable - Esperando rastro...
⏳ 00:54:06 - Pulso estable - Esperando rastro...
⏳ 00:54:08 - Pulso estable - Esperando rastro...
⏳ 00:54:10 - Pulso estable - Esperando rastro...
⏳ 00:54:12 - Pulso estable - Esperando rastro...
⏳ 00:54:14 - Pulso estable - Esperando rastro...
⏳ 00:54:16 - Pulso estable - Esperando rastro...
⏳ 00:54:18 - Pulso estable - Esperando rastro...
⏳ 00:54:20 - Pulso estable - Esperando rastro...
⏳ 00:54:22 - Pulso estable - Esperando rastro...
⏳ 00:54:24 - Pulso estable - Esperando rastro...
⏳ 00:54:26 - Pulso estable - Esperando rastro...
⏳ 00:54:28 - Pulso estable - Esperando rastro...
⏳ 00:54:30 - Pulso estable - Esperando rastro...
⏳ 00:54:32 - Pulso estable - Esperando rastro...
⏳ 00:54:34 - Pulso estable - Esperando rastro...
⏳ 00:54:36 - Pulso estable - Esperando rastro...
⏳ 00:54:39 - Pulso estable - Esperando rastro...
⏳ 00:54:41 - Pulso estable - Esperando rastro...
⏳ 00:54:43 - Pulso estable - Esperando rastro...
⏳ 00:54:45 - Pulso estable - Esperando rastro...
⏳ 00:54:47 - Pulso estable - Esperando rastro...
⏳ 00:54:49 - Pulso estable - Esperando rastro...
⏳ 00:54:51 - Pulso estable - Esperando rastro...
⏳ 00:54:53 - Pulso estable - Esperando rastro...
⏳ 00:54:55 - Pulso estable - Esperando rastro...
⏳ 00:54:57 - Pulso estable - Esperando rastro...
⏳ 00:54:59 - Pulso estable - Esperando rastro...
⏳ 00:55:01 - Pulso estable - Esperando rastro...
⏳ 00:55:03 - Pulso estable - Esperando rastro...
⏳ 00:55:05 - Pulso estable - Esperando rastro...
⏳ 00:55:07 - Pulso estable - Esperando rastro...
⏳ 00:55:09 - Pulso estable - Esperando rastro...
⏳ 00:55:11 - Pulso estable - Esperando rastro...
⏳ 00:55:13 - Pulso estable - Esperando rastro...
⏳ 00:55:15 - Pulso estable - Esperando rastro...
⏳ 00:55:17 - Pulso estable - Esperando rastro...
⏳ 00:55:19 - Pulso estable - Esperando rastro...
⏳ 00:55:21 - Pulso estable - Esperando rastro...
⏳ 00:55:23 - Pulso estable - Esperando rastro...
⏳ 00:55:26 - Pulso estable - Esperando rastro...
⏳ 00:55:28 - Pulso estable - Esperando rastro...
⏳ 00:55:30 - Pulso estable - Esperando rastro...
⏳ 00:55:32 - Pulso estable - Esperando rastro...
⏳ 00:55:34 - Pulso estable - Esperando rastro...
⏳ 00:55:36 - Pulso estable - Esperando rastro...
⏳ 00:55:38 - Pulso estable - Esperando rastro...
⏳ 00:55:40 - Pulso estable - Esperando rastro...
⏳ 00:55:42 - Pulso estable - Esperando rastro...
⏳ 00:55:44 - Pulso estable - Esperando rastro...
⏳ 00:55:46 - Pulso estable - Esperando rastro...
⏳ 00:55:48 - Pulso estable - Esperando rastro...
⏳ 00:55:50 - Pulso estable - Esperando rastro...
⏳ 00:55:52 - Pulso estable - Esperando rastro...
⏳ 00:55:54 - Pulso estable - Esperando rastro...
⏳ 00:55:56 - Pulso estable - Esperando rastro...
⏳ 00:55:58 - Pulso estable - Esperando rastro...
⏳ 00:56:00 - Pulso estable - Esperando rastro...
⏳ 00:56:02 - Pulso estable - Esperando rastro...
⏳ 00:56:04 - Pulso estable - Esperando rastro...
⏳ 00:56:06 - Pulso estable - Esperando rastro...
⏳ 00:56:08 - Pulso estable - Esperando rastro...
⏳ 00:56:10 - Pulso estable - Esperando rastro...
⏳ 00:56:12 - Pulso estable - Esperando rastro...
⏳ 00:56:15 - Pulso estable - Esperando rastro...
⏳ 00:56:17 - Pulso estable - Esperando rastro...
⏳ 00:56:19 - Pulso estable - Esperando rastro...
⏳ 00:56:21 - Pulso estable - Esperando rastro...
⏳ 00:56:23 - Pulso estable - Esperando rastro...
⏳ 00:56:25 - Pulso estable - Esperando rastro...
⏳ 00:56:27 - Pulso estable - Esperando rastro...
⏳ 00:56:29 - Pulso estable - Esperando rastro...
⏳ 00:56:31 - Pulso estable - Esperando rastro...
⏳ 00:56:33 - Pulso estable - Esperando rastro...
⏳ 00:56:35 - Pulso estable - Esperando rastro...
⏳ 00:56:37 - Pulso estable - Esperando rastro...
⏳ 00:56:39 - Pulso estable - Esperando rastro...
⏳ 00:56:41 - Pulso estable - Esperando rastro...
⏳ 00:56:43 - Pulso estable - Esperando rastro...
⏳ 00:56:45 - Pulso estable - Esperando rastro...
⏳ 00:56:47 - Pulso estable - Esperando rastro...
⏳ 00:56:49 - Pulso estable - Esperando rastro...
⏳ 00:56:51 - Pulso estable - Esperando rastro...
⏳ 00:56:53 - Pulso estable - Esperando rastro...
⏳ 00:56:55 - Pulso estable - Esperando rastro...
⏳ 00:56:57 - Pulso estable - Esperando rastro...
⏳ 00:57:00 - Pulso estable - Esperando rastro...
⏳ 00:57:02 - Pulso estable - Esperando rastro...
⏳ 00:57:04 - Pulso estable - Esperando rastro...
⏳ 00:57:06 - Pulso estable - Esperando rastro...
⏳ 00:57:08 - Pulso estable - Esperando rastro...
⏳ 00:57:10 - Pulso estable - Esperando rastro...
⏳ 00:57:12 - Pulso estable - Esperando rastro...
⏳ 00:57:14 - Pulso estable - Esperando rastro...
⏳ 00:57:16 - Pulso estable - Esperando rastro...
⏳ 00:57:18 - Pulso estable - Esperando rastro...
⏳ 00:5
